"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","series_yrs","first_yes_date","yeartype","dop","year","resident","present_jan1","ind_phen_year"
5582,45.195858,-70.45369,243,"Gavia","immer","common loon","Animalia",12467,293,"Calls or song (birds)",2013,5,9,129,2456422,7,"12467_Calls or song (birds)","Adults observed","ME",12,2013-05-09,"calendar",129,2013,FALSE,0,"12467_Calls or song (birds)_2013"
5583,45.196041,-70.459015,243,"Gavia","immer","common loon","Animalia",12472,292,"Live individuals",2013,5,9,129,2456422,7,"12472_Live individuals","Adults observed","ME",12,2013-05-09,"calendar",129,2013,FALSE,0,"12472_Live individuals_2013"
5674,44.910587,-70.266861,246,"Turdus","migratorius","American robin","Animalia",12709,292,"Live individuals",2013,3,24,83,2456376,7,"12709_Live individuals","Adults observed","ME",13,2013-03-24,"calendar",83,2013,FALSE,0,"12709_Live individuals_2013"
5674,44.910587,-70.266861,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",12712,292,"Live individuals",2013,5,13,133,2456426,2,"12712_Live individuals","Adults observed","ME",14,2013-05-13,"calendar",133,2013,FALSE,0,"12712_Live individuals_2013"
2803,39.971001,-105.397003,246,"Turdus","migratorius","American robin","Animalia",16046,292,"Live individuals",2013,3,21,80,2456373,4,"16046_Live individuals","Adults observed","CO",15,2013-03-21,"calendar",80,2013,FALSE,0,"16046_Live individuals_2013"
2803,39.971001,-105.397003,354,"Selasphorus","platycercus","broad-tailed hummingbird","Animalia",16048,292,"Live individuals",2013,4,25,115,2456408,4,"16048_Live individuals","Adults observed","CO",15,2013-04-25,"calendar",115,2013,FALSE,0,"16048_Live individuals_2013"
2803,39.971001,-105.397003,357,"Sialia","mexicana","western bluebird","Animalia",16214,292,"Live individuals",2013,3,31,90,2456383,7,"16214_Live individuals","Adults observed","CO",14,2013-03-31,"calendar",90,2013,FALSE,0,"16214_Live individuals_2013"
8242,31.596231,-110.575493,353,"Archilochus","alexandri","black-chinned hummingbird","Animalia",23606,292,"Live individuals",2013,4,7,97,2456390,16,"23606_Live individuals","Adults observed","AZ",10,2013-04-07,"calendar",97,2013,FALSE,0,"23606_Live individuals_2013"
8496,46.328629,-96.061256,246,"Turdus","migratorius","American robin","Animalia",25780,292,"Live individuals",2013,3,30,89,2456382,3,"25780_Live individuals","Adults observed","MN",14,2013-03-30,"calendar",89,2013,FALSE,0,"25780_Live individuals_2013"
8496,46.328629,-96.061256,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",25784,292,"Live individuals",2013,5,13,133,2456426,2,"25784_Live individuals","Adults observed","MN",14,2013-05-13,"calendar",133,2013,FALSE,0,"25784_Live individuals_2013"
