"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","series_yrs","first_yes_date","yeartype","dop","year","resident","present_jan1","ind_phen_year"
17414,42.936153,-73.433449,1124,"Tachycineta","bicolor","tree swallow","Animalia",66940,292,"Live individuals",2014,4,11,101,2456759,5,"66940_Live individuals","Adults observed","NY",12,2014-04-11,"calendar",101,2014,FALSE,0,"66940_Live individuals_2014"
5582,45.195858,-70.45369,243,"Gavia","immer","common loon","Animalia",12467,293,"Calls or song (birds)",2015,5,21,141,2457164,7,"12467_Calls or song (birds)","Adults observed","ME",12,2015-05-21,"calendar",141,2015,FALSE,0,"12467_Calls or song (birds)_2015"
5583,45.196041,-70.459015,243,"Gavia","immer","common loon","Animalia",12472,292,"Live individuals",2015,5,21,141,2457164,7,"12472_Live individuals","Adults observed","ME",12,2015-05-21,"calendar",141,2015,FALSE,0,"12472_Live individuals_2015"
5674,44.910587,-70.266861,246,"Turdus","migratorius","American robin","Animalia",12709,292,"Live individuals",2015,3,8,67,2457090,7,"12709_Live individuals","Adults observed","ME",13,2015-03-08,"calendar",67,2015,FALSE,0,"12709_Live individuals_2015"
5674,44.910587,-70.266861,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",12712,292,"Live individuals",2015,5,11,131,2457154,7,"12712_Live individuals","Adults observed","ME",14,2015-05-11,"calendar",131,2015,FALSE,0,"12712_Live individuals_2015"
2803,39.971001,-105.397003,246,"Turdus","migratorius","American robin","Animalia",16046,292,"Live individuals",2015,3,15,74,2457097,1,"16046_Live individuals","Adults observed","CO",15,2015-03-15,"calendar",74,2015,FALSE,0,"16046_Live individuals_2015"
2803,39.971001,-105.397003,354,"Selasphorus","platycercus","broad-tailed hummingbird","Animalia",16048,292,"Live individuals",2015,4,24,114,2457137,13,"16048_Live individuals","Adults observed","CO",14,2015-04-24,"calendar",114,2015,FALSE,0,"16048_Live individuals_2015"
2803,39.971001,-105.397003,357,"Sialia","mexicana","western bluebird","Animalia",16214,292,"Live individuals",2015,4,7,97,2457120,2,"16214_Live individuals","Adults observed","CO",14,2015-04-07,"calendar",97,2015,FALSE,0,"16214_Live individuals_2015"
8496,46.328629,-96.061256,246,"Turdus","migratorius","American robin","Animalia",25780,292,"Live individuals",2015,3,14,73,2457096,6,"25780_Live individuals","Adults observed","MN",12,2015-03-14,"calendar",73,2015,FALSE,0,"25780_Live individuals_2015"
8496,46.328629,-96.061256,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",25784,292,"Live individuals",2015,5,16,136,2457159,7,"25784_Live individuals","Adults observed","MN",11,2015-05-16,"calendar",136,2015,FALSE,0,"25784_Live individuals_2015"
