"group","common_name","phenophase_description","site_id","latitude","longitude","n","resident","jan1","present_jan1"
"Bird","black-chinned hummingbird","Flower visitation",8242,31.596231,-110.575493,10,FALSE,"nb",0
"Bird","black-chinned hummingbird","Individuals at a feeding station",8242,31.596231,-110.575493,10,FALSE,"nb",0
"Bird","black-chinned hummingbird","Live individuals",8242,31.596231,-110.575493,10,FALSE,"nb",0
"Bird","blue jay","Calls or song (birds)",9652,44.768246,-94.155746,10,FALSE,"nb",1
"Bird","blue jay","Fruit/seed consumption",8923,42.286381,-72.653831,10,FALSE,"nb",1
"Bird","blue jay","Individuals at a feeding station",8418,32.363758,-94.873947,10,FALSE,"nb",1
"Bird","blue jay","Individuals at a feeding station",8923,42.286381,-72.653831,10,FALSE,"nb",1
"Bird","blue jay","Individuals at a feeding station",10145,42.602543,-83.250992,10,FALSE,"nb",1
"Bird","blue jay","Live individuals",9652,44.768246,-94.155746,10,FALSE,"nb",1
"Bird","brown-headed cowbird","Calls or song (birds)",10145,42.602543,-83.250992,10,FALSE,"nb",0
"Bird","chimney swift","Calls or song (birds)",10145,42.602543,-83.250992,10,FALSE,"nb",0
"Bird","cliff swallow","Calls or song (birds)",19944,33.66478,-117.843063,10,FALSE,"nb",0
"Bird","cliff swallow","Live individuals",19944,33.66478,-117.843063,10,FALSE,"nb",0
"Bird","common yellowthroat","Calls or song (birds)",17414,42.936153,-73.433449,10,FALSE,"nb",0
"Bird","common yellowthroat","Calls or song (birds)",19944,33.66478,-117.843063,10,FALSE,"nb",1
"Bird","common yellowthroat","Live individuals",19944,33.66478,-117.843063,10,FALSE,"nb",1
"Bird","common yellowthroat","Singing individuals (birds)",17414,42.936153,-73.433449,10,FALSE,"nb",0
"Bird","common yellowthroat","Singing individuals (birds)",19944,33.66478,-117.843063,10,FALSE,"nb",1
"Bird","curve-billed thrasher","Calls or song (birds)",18529,33.630066,-112.147385,10,TRUE,NA,1
"Bird","curve-billed thrasher","Fruit/seed consumption",8242,31.596231,-110.575493,10,TRUE,NA,1
"Bird","curve-billed thrasher","Individuals at a feeding station",18529,33.630066,-112.147385,10,TRUE,NA,1
"Bird","curve-billed thrasher","Insect consumption",18529,33.630066,-112.147385,10,TRUE,NA,1
"Bird","curve-billed thrasher","Live individuals",8242,31.596231,-110.575493,10,TRUE,NA,1
"Bird","curve-billed thrasher","Live individuals",18529,33.630066,-112.147385,10,TRUE,NA,1
"Bird","dark-eyed junco","Calls or song (birds)",10145,42.602543,-83.250992,10,FALSE,"nb",1
